Year,Overflow_Type,Municipality,Wet-Dry-Event,NPDES,Date_discovered,Time_discovered,Days,Hours,Minutes,Location,Pipe-Manhole-ID,ZipCode,Latitude,Longitude,Collection-System,QUAN-GALS-Gross,QUAN-GALS-Net,Cause,HealthDeptNotified,How_HeatlhDepart_Was_Notified,Corrective_Action,Watershed,Receiving_waters,County,Comment,Penalty_Collected,Penalty_Collected_Comments
2018,SSO,United States Coast Guard,Dry,,1/8/2018,12:30:00 PM,,,,2401 Hawkins Point Rd.,Water Line,21226,39.19953,-76.567941,United States Coast Guard Yard,13200,13200,Water line breakage due to freezing temperatures.,,,Plumbers worked quickly to terminate water source. Release was contained as best as possible. Water and soil sampled in area of release and sent to accredited lab for analysis.,,Curtis Creek,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,1/9/2018,,0,,,1405 McCulloh St.,Clean out,21217,39.303616,-76.628785,City of Baltimore Dept. of Public Works,99,99,"Rags, grease, trash/debris, sand, gravel, rocks.",,,Relieved house connection choke with 30 ft. of electric cable.,Jones Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,1/9/2018,3:00:00 PM,0,4,40,3250 E. Fayette St.,Manhole,21224,39.295149,-76.571571,City of Baltimore Dept. of Public Works,1400,1400,"Rags, grease, trash/debris, sand, gravel, rocks.",,,Relieved 8 inch mainline choke with 200 ft. of pressure hose. Performed CCTV inspection.,Baltimore Harbor,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,1/10/2018,,0,,,1619 Gwynns Falls Pkwy.,Clean out,21217,39.317613,-76.648684,City of Baltimore Dept. of Public Works,99,99,"Rags, roots.",,,Relieved house connection choke with 30 ft. of electric cable.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,1/11/2018,,,,,429 E. 29 St.,Clean out,21218,39.323324,-76.610653,City of Baltimore Dept. of Public Works,99,99,"Rags, roots, grease, trash/debris, sand, gravel, rocks.",,,Relieved house connection choke with 30 ft. of electric cable.,Baltimore Harbor,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,1/13/2018,,,,,2801 Kinsey Ave.,Clean out,21223,39.287789,-76.661081,City of Baltimore Dept. of Public Works,99,99,"Rags, roots, trash/debris, sand, gravel, rocks.",,,Relieved 6 inch house connection choke with 45 ft. of electric cable.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,1/16/2018,1:08:00 PM,0,1,0,5601 Purlington Way,Manhole,21212,39.365536,-76.619163,City of Baltimore Dept. of Public Works,300,300,"Rags, roots, trash/debris, sand, gravel, rocks.",,,Relieved 8 inch mainline choke with 250 ft. of pressure hose.,Jones Falls,Stony Run,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,1/17/2018,,,,,1202 Cochran Ave.,Clean out,21239,39.356719,-76.595328,City of Baltimore Dept. of Public Works,99,99,"Roots, grease, trash/debris, sand, gravel, rocks.",,,Relieved house connection choke with 45 ft. of electric cable.  Performed CCTV inspection; confirmed mainline and lateral are clear.,Back River,Herring Run,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,1/17/2018,6:30:00 PM,1,19,5,Queensberry Ave. & W. Garrison Ave.,Manhole,21215,39.348837,-76.670969,City of Baltimore Dept. of Public Works,150000,150000,Grease.,,,Relieved mainline choke.  Confirmed mainline is clear and back to regular flow.  SSO structure will be closed upon completion of necessary capital project.,Jones Falls,Jones Falls,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,1/18/2018,11:47:00 PM,0,1,3,5601 Purlington Way,Manhole,21212,39.365536,-76.619163,City of Baltimore Dept. of Public Works,99,99,"Trash/debris, sand, gravel rocks.",,,Flushed and cleaned 8 inch mainline with 300 ft. of pressure hose.,Jones Falls,Stony Run,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,1/19/2018,1:30:00 AM,0,8,15,Edmondson Ave. & Hilton Pkwy.,Manhole,21229,39.294175,-76.672767,City of Baltimore Dept. of Public Works,2475,2475,"Rags, grease, trash/debris, sand, gravel, rocks.",,,Relieved 8 inch mainline choke with 150 ft. of pressure hose. Performed mainline CCTV inspection.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,1/21/2018,11:52:00 AM,0,1,40,2708 Woodland Ave.,Clean out,21215,39.346924,-76.662681,City of Baltimore Dept. of Public Works,1000,1000,"Rags, grease, trash/debris, sand, gravel, rocks.",,,Relieved 8 inch mainline choke with 200 ft. of pressure hose. Performed mainline CCTV inspection.,Jones Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,1/22/2018,2:52:00 PM,0,0,53,5601 Purlington Way,Manhole,21212,39.365536,-76.619163,City of Baltimore Dept. of Public Works,265,265,Roots.,,,Relieved mainline choke with pressure hose.,Jones Falls,Stony Run,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,1/22/2018,,,,,8 Midvale Rd.,Clean out,21210,39.355649,-76.639144,City of Baltimore Dept. of Public Works,99,99,Pipe break.,,,House lateral repair underway. Performed CCTV inspection.,Jones Falls,,Baltimore City,,,
