year,overflow_type,municipality,wet_dry_event,npdes,date_discovered,time_discovered,days,hours,minutes,location,pipe_manhole_id,zip_code,latitude,collection_system,quan_gals_gross,quan_gals_net,cause,health_dept_notified,how_heatlh_depart_was_notified,corrective_action,watershed,receiving_waters,county,comment,penalty_collected,penalty_collected_comments,long,watershed2,quan_gals_gross2,geometry
2018,SSO,City of Baltimore Dept. of Public Works,Dry,NA,1/9/2018,3:00:00 PM,0,4,40,3250 E. Fayette St.,Manhole,21224,39.295149,City of Baltimore Dept. of Public Works,1400,1400,"Rags, grease, trash/debris, sand, gravel, rocks.",,NA,Relieved 8 inch mainline choke with 200 ft. of pressure hose. Performed CCTV inspection.,Baltimore Harbor,,Baltimore City,NA,NA,NA,-76.571571,Baltimore Harbor,"1,400","c(1433584.992953, 593367.028771577)"
2018,SSO,City of Baltimore Dept. of Public Works,Dry,NA,1/16/2018,1:08:00 PM,0,1,0,5601 Purlington Way,Manhole,21212,39.365536,City of Baltimore Dept. of Public Works,300,300,"Rags, roots, trash/debris, sand, gravel, rocks.",,NA,Relieved 8 inch mainline choke with 250 ft. of pressure hose.,Jones Falls,Stony Run,Baltimore City,NA,NA,NA,-76.619163,Jones Falls,300,"c(1420008.8910304, 618944.667128466)"
2018,SSO,City of Baltimore Dept. of Public Works,Dry,NA,1/17/2018,6:30:00 PM,1,19,5,Queensberry Ave. & W. Garrison Ave.,Manhole,21215,39.348837,City of Baltimore Dept. of Public Works,150000,150000,Grease.,,NA,Relieved mainline choke.  Confirmed mainline is clear and back to regular flow.  SSO structure will be closed upon completion of necessary capital project.,Jones Falls,Jones Falls,Baltimore City,NA,NA,NA,-76.670969,Jones Falls,"150,000","c(1405383.56620752, 612805.309229957)"
2018,SSO,City of Baltimore Dept. of Public Works,Dry,NA,1/19/2018,1:30:00 AM,0,8,15,Edmondson Ave. & Hilton Pkwy.,Manhole,21229,39.294175,City of Baltimore Dept. of Public Works,2475,2475,"Rags, grease, trash/debris, sand, gravel, rocks.",,NA,Relieved 8 inch mainline choke with 150 ft. of pressure hose. Performed mainline CCTV inspection.,Gwynns Falls,,Baltimore City,NA,NA,NA,-76.672767,Gwynns Falls,"2,475","c(1404946.46138698, 592893.730885891)"
2018,SSO,City of Baltimore Dept. of Public Works,Dry,NA,1/21/2018,11:52:00 AM,0,1,40,2708 Woodland Ave.,Clean out,21215,39.346924,City of Baltimore Dept. of Public Works,1000,1000,"Rags, grease, trash/debris, sand, gravel, rocks.",,NA,Relieved 8 inch mainline choke with 200 ft. of pressure hose. Performed mainline CCTV inspection.,Jones Falls,,Baltimore City,NA,NA,NA,-76.662681,Jones Falls,"1,000","c(1407729.98346577, 612117.078793754)"
2018,SSO,City of Baltimore Dept. of Public Works,Dry,NA,1/22/2018,2:52:00 PM,0,0,53,5601 Purlington Way,Manhole,21212,39.365536,City of Baltimore Dept. of Public Works,265,265,Roots.,,NA,Relieved mainline choke with pressure hose.,Jones Falls,Stony Run,Baltimore City,NA,NA,NA,-76.619163,Jones Falls,265,"c(1420008.8910304, 618944.667128466)"
2018,SSO,City of Baltimore Dept. of Public Works,Wet,NA,1/24/2018,10:40:00 AM,0,0,43,2218 Hillhouse Rd.,Manhole,21207,39.314197,City of Baltimore Dept. of Public Works,215,215,"Rags, roots, grease.",,NA,Relieved 8 inch mainline choke with 200 ft. of pressure hose. Confirmed mainline is clear.,Gwynns Falls,,Baltimore City,NA,NA,NA,-76.706907,Gwynns Falls,215,"c(1395260.81675342, 600153.562827613)"
2018,SSO,City of Baltimore Dept. of Public Works,Wet,NA,1/24/2018,12:08:00 PM,0,2,26,3200 Carlisle Ave.,Manhole,21216,39.318604,City of Baltimore Dept. of Public Works,730,730,"Rags, grease, trash/debris, sand, gravel, rocks.",,NA,Relieved 8 inch mainline choke with 200 ft. of pressure hose. Performed CCTV inspection.,Gwynns Falls,Gwynns Falls,Baltimore City,NA,NA,NA,-76.670053,Gwynns Falls,730,"c(1405682.41154348, 601794.322048837)"
2018,SSO,City of Baltimore Dept. of Public Works,Wet,NA,1/24/2018,2:07:00 PM,0,2,47,Wetheredsville Rd. & Cottondale Ln.,Manhole,21207,39.315368,City of Baltimore Dept. of Public Works,1670,1670,"Rags, grease, trash/debris, sand, gravel, rocks.",,NA,Relieved 8 inch mainline choke with 200 ft. of pressure hose. Performed CCTV inspection.,Gwynns Falls,,Baltimore City,NA,NA,NA,-76.702848,Gwynns Falls,"1,670","c(1396407.8743666, 600583.793021358)"
2018,SSO,City of Baltimore Dept. of Public Works,Wet,NA,1/25/2018,10:08:00 PM,0,11,57,1020 McDonogh St.,Manhole,21205,39.302525,City of Baltimore Dept. of Public Works,1434,1434,"Rags, grease, trash/debris, sand, gravel, rocks.",,NA,Relieved 8 inch mainline choke with 200 ft. of pressure hose. Performed mainline CCTV inspection to determine if there's an obstruction in pipe.,Baltimore Harbor,Inner Harbor,Baltimore City,NA,NA,NA,-76.593757,Baltimore Harbor,"1,434","c(1427294.11819941, 596024.884647389)"
2018,SSO,City of Baltimore Dept. of Public Works,Dry,NA,1/29/2018,3:15:00 PM,0,1,27,4501 N. Charles St.,Manhole,21212,39.346194,City of Baltimore Dept. of Public Works,870,870,"Trash/debris, sand, gravel, rocks, pipe break.",,NA,Relieved 8 inch mainline choke with 300 ft. of pressure hose.  Performed mainline CCTV inspection to determine possible structural damage.,Jones Falls,Jones Falls,Baltimore City,NA,NA,NA,-76.62138,Jones Falls,870,"c(1419411.29309265, 611896.988412676)"
2018,SSO,City of Baltimore Dept. of Public Works,Dry,NA,1/29/2018,2:52:00 PM,0,1,0,3000 Dupont Ave.,Manhole,21215,39.344369,City of Baltimore Dept. of Public Works,300,300,"Rags, grease, trash/debris, sand, gravel, rocks.",,NA,Relieved 8 inch mainline choke with 300 ft. of pressure hose.  Performed mainline CCTV inspection; cleaned the mainline.,Jones Falls,Jones Falls,Baltimore City,NA,NA,NA,-76.665704,Jones Falls,300,"c(1406878.46541606, 611183.309719431)"
